# VOXEL SCENARIO CONFIGURATION
TYPE,X,Y,Z,VALUE
DIMENSIONS,7,7,7,
START,0,0,0,
START,0,0,1,
START,0,0,2,
START,0,0,3,
START,0,0,4,
START,0,0,5,
START,0,0,6,
START,0,1,0,
START,0,1,1,
START,0,1,2,
START,0,1,3,
START,0,1,4,
START,0,1,5,
START,0,1,6,
START,0,2,0,
START,0,2,1,
START,0,2,2,
START,0,2,3,
START,0,2,4,
START,0,2,5,
START,0,2,6,
START,0,3,0,
START,0,3,1,
START,0,3,2,
START,0,3,3,
START,0,3,4,
START,0,3,5,
START,0,3,6,
START,0,4,0,
START,0,4,1,
START,0,4,2,
START,0,4,3,
START,0,4,4,
START,0,4,5,
START,0,4,6,
START,0,5,0,
START,0,5,1,
START,0,5,2,
START,0,5,3,
START,0,5,4,
START,0,5,5,
START,0,5,6,
START,0,6,0,
START,0,6,1,
START,0,6,2,
START,0,6,3,
START,0,6,4,
START,0,6,5,
START,0,6,6,
START,1,0,0,
START,1,0,1,
START,1,0,2,
START,1,0,3,
START,1,0,4,
START,1,0,5,
START,1,0,6,
START,1,1,4,
START,1,1,5,
START,1,1,6,
START,1,2,4,
START,1,2,5,
START,1,2,6,
START,1,3,4,
START,1,3,5,
START,1,3,6,
START,1,4,4,
START,1,4,5,
START,1,4,6,
START,1,5,4,
START,1,5,5,
START,1,5,6,
START,1,6,0,
START,1,6,1,
START,1,6,2,
START,1,6,3,
START,1,6,4,
START,1,6,5,
START,1,6,6,
START,2,0,0,
START,2,0,1,
START,2,0,2,
START,2,0,3,
START,2,0,4,
START,2,0,5,
START,2,0,6,
START,2,1,4,
START,2,1,5,
START,2,1,6,
START,2,2,4,
START,2,2,5,
START,2,2,6,
START,2,3,4,
START,2,3,5,
START,2,3,6,
START,2,4,4,
START,2,4,5,
START,2,4,6,
START,2,5,4,
START,2,5,5,
START,2,5,6,
START,2,6,0,
START,2,6,1,
START,2,6,2,
START,2,6,3,
START,2,6,4,
START,2,6,5,
START,2,6,6,
START,3,0,0,
START,3,0,1,
START,3,0,2,
START,3,0,3,
START,3,0,4,
START,3,0,5,
START,3,0,6,
START,3,1,4,
START,3,1,5,
START,3,1,6,
START,3,2,4,
START,3,2,5,
START,3,2,6,
START,3,3,4,
START,3,3,5,
START,3,3,6,
START,3,4,4,
START,3,4,5,
START,3,4,6,
START,3,5,4,
START,3,5,5,
START,3,5,6,
START,3,6,0,
START,3,6,1,
START,3,6,2,
START,3,6,3,
START,3,6,4,
START,3,6,5,
START,3,6,6,
START,4,0,0,
START,4,0,1,
START,4,0,2,
START,4,0,3,
START,4,0,4,
START,4,0,5,
START,4,0,6,
START,4,1,4,
START,4,1,5,
START,4,1,6,
START,4,2,4,
START,4,2,5,
START,4,2,6,
START,4,3,4,
START,4,3,5,
START,4,3,6,
START,4,4,4,
START,4,4,5,
START,4,4,6,
START,4,5,4,
START,4,5,5,
START,4,5,6,
START,4,6,0,
START,4,6,1,
START,4,6,2,
START,4,6,3,
START,4,6,4,
START,4,6,5,
START,4,6,6,
START,5,0,0,
START,5,0,1,
START,5,0,2,
START,5,0,3,
START,5,0,4,
START,5,0,5,
START,5,0,6,
START,5,1,4,
START,5,1,5,
START,5,1,6,
START,5,2,4,
START,5,2,5,
START,5,2,6,
START,5,3,4,
START,5,3,5,
START,5,3,6,
START,5,4,4,
START,5,4,5,
START,5,4,6,
START,5,5,4,
START,5,5,5,
START,5,5,6,
START,5,6,0,
START,5,6,1,
START,5,6,2,
START,5,6,3,
START,5,6,4,
START,5,6,5,
START,5,6,6,
START,6,0,0,
START,6,0,1,
START,6,0,2,
START,6,0,3,
START,6,0,4,
START,6,0,5,
START,6,0,6,
START,6,1,0,
START,6,1,1,
START,6,1,2,
START,6,1,3,
START,6,1,4,
START,6,1,5,
START,6,1,6,
START,6,2,0,
START,6,2,1,
START,6,2,2,
START,6,2,3,
START,6,2,4,
START,6,2,5,
START,6,2,6,
START,6,3,0,
START,6,3,1,
START,6,3,2,
START,6,3,3,
START,6,3,4,
START,6,3,5,
START,6,3,6,
START,6,4,0,
START,6,4,1,
START,6,4,2,
START,6,4,3,
START,6,4,4,
START,6,4,5,
START,6,4,6,
START,6,5,0,
START,6,5,1,
START,6,5,2,
START,6,5,3,
START,6,5,4,
START,6,5,5,
START,6,5,6,
START,6,6,0,
START,6,6,1,
START,6,6,2,
START,6,6,3,
START,6,6,4,
START,6,6,5,
START,6,6,6,
GOAL,3,3,0,
WALL,1,1,0,
WALL,1,1,1,
WALL,1,1,2,
WALL,1,1,3,
WALL,1,2,0,
WALL,1,2,1,
WALL,1,2,2,
WALL,1,2,3,
WALL,1,3,0,
WALL,1,3,1,
WALL,1,3,2,
WALL,1,3,3,
WALL,1,4,0,
WALL,1,4,1,
WALL,1,4,2,
WALL,1,4,3,
WALL,1,5,0,
WALL,1,5,1,
WALL,1,5,2,
WALL,1,5,3,
WALL,2,1,0,
WALL,2,1,1,
WALL,2,1,2,
WALL,2,1,3,
WALL,2,2,3,
WALL,2,3,3,
WALL,2,4,3,
WALL,2,5,0,
WALL,2,5,1,
WALL,2,5,2,
WALL,2,5,3,
WALL,3,1,0,
WALL,3,1,1,
WALL,3,1,2,
WALL,3,1,3,
WALL,3,2,3,
WALL,3,3,3,
WALL,3,4,3,
WALL,3,5,2,
WALL,3,5,3,
WALL,4,1,0,
WALL,4,1,1,
WALL,4,1,2,
WALL,4,1,3,
WALL,4,2,3,
WALL,4,3,3,
WALL,4,4,3,
WALL,4,5,0,
WALL,4,5,1,
WALL,4,5,2,
WALL,4,5,3,
WALL,5,1,0,
WALL,5,1,1,
WALL,5,1,2,
WALL,5,1,3,
WALL,5,2,0,
WALL,5,2,1,
WALL,5,2,2,
WALL,5,2,3,
WALL,5,3,0,
WALL,5,3,1,
WALL,5,3,2,
WALL,5,3,3,
WALL,5,4,0,
WALL,5,4,1,
WALL,5,4,2,
WALL,5,4,3,
WALL,5,5,0,
WALL,5,5,1,
WALL,5,5,2,
WALL,5,5,3,
